latin_binomial,common_name,latin_binomial_clean,common_name_clean
Echinacea purpurea,Eastern purple-coneflower,ECHINACEA PURPUREA,EASTERN PURPLECONEFLOWER
Echinacea purpurea,Echinacea,ECHINACEA PURPUREA,ECHINACEA
Echinacea purpurea,Purple-coneflower,ECHINACEA PURPUREA,PURPLECONEFLOWER
Eleutherococcus senticosus,Ci wu jia,ELEUTHEROCOCCUS SENTICOSUS,CI WU JIA
Eleutherococcus senticosus,Eleuthero,ELEUTHEROCOCCUS SENTICOSUS,ELEUTHERO
Eleutherococcus senticosus,Siberian ginseng,ELEUTHEROCOCCUS SENTICOSUS,SIBERIAN GINSENG
Elymus repens,Couchgrass,ELYMUS REPENS,COUCHGRASS
Emilia sonchifolia,Cupid's shaving-brush,EMILIA SONCHIFOLIA,CUPIDS SHAVINGBRUSH
Emilia sonchifolia,Emilia,EMILIA SONCHIFOLIA,EMILIA
Emilia sonchifolia,Sow thistle,EMILIA SONCHIFOLIA,SOW THISTLE
Epimedium grandif,Barrenwort,EPIMEDIUM GRANDIF,BARRENWORT
Epimedium grandif,Japanese epimedium,EPIMEDIUM GRANDIF,JAPANESE EPIMEDIUM
Epimedium grandif,Yin yang huo,EPIMEDIUM GRANDIF,YIN YANG HUO
Epimedium grandiflorum,Barrenwort,EPIMEDIUM GRANDIFLORUM,BARRENWORT
Epimedium grandiflorum,Japanese epimedium,EPIMEDIUM GRANDIFLORUM,JAPANESE EPIMEDIUM
Epimedium grandiflorum,Yin yang huo,EPIMEDIUM GRANDIFLORUM,YIN YANG HUO
Equisetum hyemale,Common scouring-rush,EQUISETUM HYEMALE,COMMON SCOURINGRUSH
Equisetum hyemale,Mu zei,EQUISETUM HYEMALE,MU ZEI
Eriobotrya japonica,Bibasse,ERIOBOTRYA JAPONICA,BIBASSE
Eriobotrya japonica,Japanese-medlar,ERIOBOTRYA JAPONICA,JAPANESEMEDLAR
Eriobotrya japonica,Loquat,ERIOBOTRYA JAPONICA,LOQUAT
Eriobotrya japonica,Lukwart,ERIOBOTRYA JAPONICA,LUKWART
Eriobotrya japonica,Nispero,ERIOBOTRYA JAPONICA,NISPERO
Eriobotrya japonica,Pi ba,ERIOBOTRYA JAPONICA,PI BA
Eriodictyon californicum,Mountain balm,ERIODICTYON CALIFORNICUM,MOUNTAIN BALM
Eriodictyon californicum,Yerba-santa,ERIODICTYON CALIFORNICUM,YERBASANTA
Eruca vesicaria,Arugula,ERUCA VESICARIA,ARUGULA
Eruca vesicaria,Garden rock,ERUCA VESICARIA,GARDEN ROCK
Eschscholzia californica,California-poppy,ESCHSCHOLZIA CALIFORNICA,CALIFORNIAPOPPY
Eupatorium purpureum,Gravelroot,EUPATORIUM PURPUREUM,GRAVELROOT
Eupatorium purpureum,Green-stem joe-pye-weed,EUPATORIUM PURPUREUM,GREENSTEM JOEPYEWEED
Eupatorium purpureum,Joe-pye,EUPATORIUM PURPUREUM,JOEPYE
Eupatorium purpureum,Joe-pye-weed,EUPATORIUM PURPUREUM,JOEPYEWEED
Eupatorium purpureum,Marsh-milkweed,EUPATORIUM PURPUREUM,MARSHMILKWEED
Eupatorium purpureum,Queen-of-the-meadow,EUPATORIUM PURPUREUM,QUEENOFTHEMEADOW
Eupatorium purpureum,Sweet joe-pye-weed,EUPATORIUM PURPUREUM,SWEET JOEPYEWEED
Euterpe oleracea,Acai,EUTERPE OLERACEA,ACAI
Euterpe oleracea,Açai,EUTERPE OLERACEA,AAI
Euterpe oleracea,Assai palm,EUTERPE OLERACEA,ASSAI PALM
Euterpe oleracea,Cabbage palm,EUTERPE OLERACEA,CABBAGE PALM
Ferula elaeochytris,Ferulaelaeochytris,FERULA ELAEOCHYTRIS,FERULAELAEOCHYTRIS
Ficus carica,Fig,FICUS CARICA,FIG
Ficus carica,Fig tree,FICUS CARICA,FIG TREE
Ficus carica,Wu hua guo,FICUS CARICA,WU HUA GUO
Filipendula ulmaria,Dropwort,FILIPENDULA ULMARIA,DROPWORT
Filipendula ulmaria,Meadowsweet,FILIPENDULA ULMARIA,MEADOWSWEET
Filipendula ulmaria,Queen-of-the-meadow,FILIPENDULA ULMARIA,QUEENOFTHEMEADOW
Filipendula ulmaria,Xuan guo wen zi cao,FILIPENDULA ULMARIA,XUAN GUO WEN ZI CAO
Foeniculum vulgare,Fennel,FOENICULUM VULGARE,FENNEL
Foeniculum vulgare,Fenouil,FOENICULUM VULGARE,FENOUIL
Fomes fomentarius,Fomesfomentarius,FOMES FOMENTARIUS,FOMESFOMENTARIUS
Frangula alnus,Alder buckthorn,FRANGULA ALNUS,ALDER BUCKTHORN
Frangula alnus,Frangula,FRANGULA ALNUS,FRANGULA
Frangula alnus,Glossy buckthorn,FRANGULA ALNUS,GLOSSY BUCKTHORN
Fucus vesiculosus,Black tang,FUCUS VESICULOSUS,BLACK TANG
Fucus vesiculosus,Bladder fucus,FUCUS VESICULOSUS,BLADDER FUCUS
Fucus vesiculosus,Kelpware,FUCUS VESICULOSUS,KELPWARE
Fucus vesiculosus,Seawrack,FUCUS VESICULOSUS,SEAWRACK
Fumaria officinalis,Common fumitory,FUMARIA OFFICINALIS,COMMON FUMITORY
Fumaria officinalis,Fumitory,FUMARIA OFFICINALIS,FUMITORY
Fumaria officinalis,Wax-dolls,FUMARIA OFFICINALIS,WAXDOLLS
Galega officinalis,French lilac,GALEGA OFFICINALIS,FRENCH LILAC
Galega officinalis,Galega,GALEGA OFFICINALIS,GALEGA
Galega officinalis,Goat's-rue,GALEGA OFFICINALIS,GOATSRUE
Galium aparine,Catchweed bedstraw,GALIUM APARINE,CATCHWEED BEDSTRAW
Galium aparine,Cleavers,GALIUM APARINE,CLEAVERS
Galium aparine,Goose-grass,GALIUM APARINE,GOOSEGRASS
Galium verum,Lady's bedstraw,GALIUM VERUM,LADYS BEDSTRAW
Galium verum,Yellow bedstraw,GALIUM VERUM,YELLOW BEDSTRAW
Ganoderma lucidum,Ganoderma,GANODERMA LUCIDUM,GANODERMA
Ganoderma lucidum,Ling zhi,GANODERMA LUCIDUM,LING ZHI
Ganoderma lucidum,Reishi,GANODERMA LUCIDUM,REISHI
Garcinia gummi,Malabartamarind,GARCINIA GUMMI,MALABARTAMARIND
Gentiana lutea,Bitterwort,GENTIANA LUTEA,BITTERWORT
Gentiana lutea,Gentian,GENTIANA LUTEA,GENTIAN
Gentiana lutea,Gentian-root,GENTIANA LUTEA,GENTIANROOT
Gentiana lutea,Yellow gentian,GENTIANA LUTEA,YELLOW GENTIAN
Geranium maculatum,Cranesbill,GERANIUM MACULATUM,CRANESBILL
Geranium maculatum,Spotted geranium,GERANIUM MACULATUM,SPOTTED GERANIUM
Geranium maculatum,Wild geranium,GERANIUM MACULATUM,WILD GERANIUM
Ginkgo biloba,Baiguo,GINKGO BILOBA,BAIGUO
Ginkgo biloba,Ginkgo,GINKGO BILOBA,GINKGO
Ginkgo biloba,Ginkgo biloba,GINKGO BILOBA,GINKGO BILOBA
Ginkgo biloba,Icho,GINKGO BILOBA,ICHO
Ginkgo biloba,Maidenhair-tree,GINKGO BILOBA,MAIDENHAIRTREE
Glycine max,Black soya bean,GLYCINE MAX,BLACK SOYA BEAN
Glycine max,Da dou,GLYCINE MAX,DA DOU
Glycine max,Soy,GLYCINE MAX,SOY
Glycine max,Soya,GLYCINE MAX,SOYA
Glycine max,Soyabean,GLYCINE MAX,SOYABEAN
Glycine max,Soybean,GLYCINE MAX,SOYBEAN
Glycyrrhiza glabra,Guang guo gan cao,GLYCYRRHIZA GLABRA,GUANG GUO GAN CAO
Glycyrrhiza glabra,Licorice,GLYCYRRHIZA GLABRA,LICORICE
Glycyrrhiza glabra,Liquorice,GLYCYRRHIZA GLABRA,LIQUORICE
Glycyrrhiza inflata,Zhangguogancao,GLYCYRRHIZA INFLATA,ZHANGGUOGANCAO
Glycyrrhiza uralensis,Chinese licorice,GLYCYRRHIZA URALENSIS,CHINESE LICORICE
Glycyrrhiza uralensis,Gan cao,GLYCYRRHIZA URALENSIS,GAN CAO
Gymnema sylvestre,Gymnema,GYMNEMA SYLVESTRE,GYMNEMA
Gymnema sylvestre,Miracle-fruit,GYMNEMA SYLVESTRE,MIRACLEFRUIT
Hamamelis virginiana,Hamamelis,HAMAMELIS VIRGINIANA,HAMAMELIS
Hamamelis virginiana,Spotted alder,HAMAMELIS VIRGINIANA,SPOTTED ALDER
Hamamelis virginiana,Winter bloom,HAMAMELIS VIRGINIANA,WINTER BLOOM
Hamamelis virginiana,Witchazel,HAMAMELIS VIRGINIANA,WITCHAZEL
Hamamelis virginiana,Witch-hazel,HAMAMELIS VIRGINIANA,WITCHHAZEL
Handroanthus heptaphyllus,Ipe roxo,HANDROANTHUS HEPTAPHYLLUS,IPE ROXO
Handroanthus heptaphyllus,Lapacho,HANDROANTHUS HEPTAPHYLLUS,LAPACHO
Handroanthus heptaphyllus,Lapacho negro,HANDROANTHUS HEPTAPHYLLUS,LAPACHO NEGRO
Handroanthus heptaphyllus,Pau d'Arco,HANDROANTHUS HEPTAPHYLLUS,PAU DARCO
Harpagophytum procumbens,Devil's-claw,HARPAGOPHYTUM PROCUMBENS,DEVILSCLAW
Harpagophytum procumbens,Grapple plant,HARPAGOPHYTUM PROCUMBENS,GRAPPLE PLANT
Harpagophytum procumbens,Wood spider,HARPAGOPHYTUM PROCUMBENS,WOOD SPIDER
Hedera helix,Engelse hedera,HEDERA HELIX,ENGELSE HEDERA
Hedera helix,English ivy,HEDERA HELIX,ENGLISH IVY
Helichrysum arenarium,Everlasting,HELICHRYSUM ARENARIUM,EVERLASTING
Helichrysum arenarium,Immortelle,HELICHRYSUM ARENARIUM,IMMORTELLE
Helichrysum arenarium,Sandy everlasting,HELICHRYSUM ARENARIUM,SANDY EVERLASTING
Helichrysum arenarium,Yellow chasteweed,HELICHRYSUM ARENARIUM,YELLOW CHASTEWEED
Hordeum vulgare,Da mai,HORDEUM VULGARE,DA MAI
Hydrastis canadensis,Goldenseal,HYDRASTIS CANADENSIS,GOLDENSEAL
Hydrastis canadensis,Orangeroot,HYDRASTIS CANADENSIS,ORANGEROOT
Hydrastis canadensis,Yellow-puccoon,HYDRASTIS CANADENSIS,YELLOWPUCCOON
Hydrastis canadensis,Yellow root,HYDRASTIS CANADENSIS,YELLOW ROOT
Hypericum perforatum,Hypericum,HYPERICUM PERFORATUM,HYPERICUM
Hypericum perforatum,St. John's wort,HYPERICUM PERFORATUM,ST JOHNS WORT
Hypericum perforatum,St. John's-wort,HYPERICUM PERFORATUM,ST JOHNSWORT
Hyssopus officinalis,Hyssop,HYSSOPUS OFFICINALIS,HYSSOP
Ilex paraguariensis,Brazilian tea,ILEX PARAGUARIENSIS,BRAZILIAN TEA
Ilex paraguariensis,Mate,ILEX PARAGUARIENSIS,MATE
Ilex paraguariensis,Paraguayan tea,ILEX PARAGUARIENSIS,PARAGUAYAN TEA
Ilex paraguariensis,Paraguay tea,ILEX PARAGUARIENSIS,PARAGUAY TEA
Ilex paraguariensis,St Bartholomew's tea,ILEX PARAGUARIENSIS,ST BARTHOLOMEWS TEA
Ilex paraguariensis,Yerba mate,ILEX PARAGUARIENSIS,YERBA MATE
Inonotus obliquus,Chaga,INONOTUS OBLIQUUS,CHAGA
Inula helenium,Elecampane,INULA HELENIUM,ELECAMPANE
Inula helenium,Tu mu xiang,INULA HELENIUM,TU MU XIANG
Inula helenium,Velvet-dock,INULA HELENIUM,VELVETDOCK
Juglans nigra,Blackwalnut,JUGLANS NIGRA,BLACKWALNUT
Juglans regia,Walnut,JUGLANS REGIA,WALNUT
Juncus effusus,Common rush,JUNCUS EFFUSUS,COMMON RUSH
Juncus effusus,Deng xin cao,JUNCUS EFFUSUS,DENG XIN CAO
Juncus effusus,Soft rush,JUNCUS EFFUSUS,SOFT RUSH
Juniperus communis,Common juniper,JUNIPERUS COMMUNIS,COMMON JUNIPER
Juniperus communis,Juniper,JUNIPERUS COMMUNIS,JUNIPER
Juniperus oxycedrus,Cade juniper,JUNIPERUS OXYCEDRUS,CADE JUNIPER
Juniperus oxycedrus,Prickly juniper,JUNIPERUS OXYCEDRUS,PRICKLY JUNIPER
Juniperus oxycedrus,Red-berry juniper,JUNIPERUS OXYCEDRUS,REDBERRY JUNIPER
Juniperus virginiana,Eastern red-cedar,JUNIPERUS VIRGINIANA,EASTERN REDCEDAR
Juniperus virginiana,Pencil-cedar,JUNIPERUS VIRGINIANA,PENCILCEDAR
Juniperus virginiana,Potloodseder,JUNIPERUS VIRGINIANA,POTLOODSEDER
Juniperus virginiana,Red-cedar,JUNIPERUS VIRGINIANA,REDCEDAR
Juniperus virginiana,Red juniper,JUNIPERUS VIRGINIANA,RED JUNIPER
Juniperus virginiana,Rooisede,JUNIPERUS VIRGINIANA,ROOISEDE
Leonurus cardiaca,Common motherwort,LEONURUS CARDIACA,COMMON MOTHERWORT
Leonurus cardiaca,Motherwort,LEONURUS CARDIACA,MOTHERWORT
Lepidium,Du xing cai,LEPIDIUM,DU XING CAI
Lepidium,Pepperweed,LEPIDIUM,PEPPERWEED
Lepidium meyenii,Maca,LEPIDIUM MEYENII,MACA
Lepidium meyenii,Peruvian-ginseng,LEPIDIUM MEYENII,PERUVIANGINSENG
Levisticum officinale,Lovage,LEVISTICUM OFFICINALE,LOVAGE
Lilium candidum,Madonna lily,LILIUM CANDIDUM,MADONNA LILY
Lilium candidum,White lily,LILIUM CANDIDUM,WHITE LILY
Liquidambar styraciflua,Alligatorwood,LIQUIDAMBAR STYRACIFLUA,ALLIGATORWOOD
Liquidambar styraciflua,American-storax,LIQUIDAMBAR STYRACIFLUA,AMERICANSTORAX
Liquidambar styraciflua,Red-gum,LIQUIDAMBAR STYRACIFLUA,REDGUM
Liquidambar styraciflua,Satin-walnut,LIQUIDAMBAR STYRACIFLUA,SATINWALNUT
Liquidambar styraciflua,Sweet-gum,LIQUIDAMBAR STYRACIFLUA,SWEETGUM
Lobaria pulmonaria,Lung lichen,LOBARIA PULMONARIA,LUNG LICHEN
Lobaria pulmonaria,Lungmoss,LOBARIA PULMONARIA,LUNGMOSS
Lonicera japonica,Japanese honeysuckle,LONICERA JAPONICA,JAPANESE HONEYSUCKLE
Lonicera japonica,Jin yin hua,LONICERA JAPONICA,JIN YIN HUA
Lonicera japonica,Ren dong,LONICERA JAPONICA,REN DONG
Lonicera japonica,Rendongteng,LONICERA JAPONICA,RENDONGTENG
Lycium barbarum,Barbary matrimony-vine,LYCIUM BARBARUM,BARBARY MATRIMONYVINE
Lycium barbarum,Barbary wolfberry,LYCIUM BARBARUM,BARBARY WOLFBERRY
Lycium barbarum,Chinese wolfberry,LYCIUM BARBARUM,CHINESE WOLFBERRY
Lycium barbarum,Matrimony-vine,LYCIUM BARBARUM,MATRIMONYVINE
Lycium barbarum,Ning xia gou qi,LYCIUM BARBARUM,NING XIA GOU QI
Lycopus americanus,Americanbugleweed,LYCOPUS AMERICANUS,AMERICANBUGLEWEED
Magnolia grandiflora,Bull bay,MAGNOLIA GRANDIFLORA,BULL BAY
Magnolia grandiflora,Laurier tulipier,MAGNOLIA GRANDIFLORA,LAURIER TULIPIER
Magnolia grandiflora,Southern magnolia,MAGNOLIA GRANDIFLORA,SOUTHERN MAGNOLIA
Magnolia officinalis,Hou po,MAGNOLIA OFFICINALIS,HOU PO
Magnolia officinalis,Magnolia-bark,MAGNOLIA OFFICINALIS,MAGNOLIABARK
Magnolia virginiana,Sweetbay,MAGNOLIA VIRGINIANA,SWEETBAY
Malva sylvestris,Blue mallow,MALVA SYLVESTRIS,BLUE MALLOW
Malva sylvestris,Cheeses,MALVA SYLVESTRIS,CHEESES
Malva sylvestris,Common mallow,MALVA SYLVESTRIS,COMMON MALLOW
Malva sylvestris,High mallow,MALVA SYLVESTRIS,HIGH MALLOW
Malva sylvestris,Tall mallow,MALVA SYLVESTRIS,TALL MALLOW
Marrubium vulgare,Horehound,MARRUBIUM VULGARE,HOREHOUND
Marrubium vulgare,White horehound,MARRUBIUM VULGARE,WHITE HOREHOUND
Matricaria chamomilla,Blue chamomile,MATRICARIA CHAMOMILLA,BLUE CHAMOMILE
Matricaria chamomilla,Chamomile,MATRICARIA CHAMOMILLA,CHAMOMILE
Matricaria chamomilla,Common chamomile,MATRICARIA CHAMOMILLA,COMMON CHAMOMILE
Matricaria chamomilla,German chamomile,MATRICARIA CHAMOMILLA,GERMAN CHAMOMILE
Matricaria chamomilla,Hungarian chamomile,MATRICARIA CHAMOMILLA,HUNGARIAN CHAMOMILE
Hedera helix,Ivy leaf,HEDERA HELIX,IVY LEAF
Hordeum vulgare,Barley grass,HORDEUM VULGARE,BARLEY GRASS
Lycium barbarum,Goji berry,LYCIUM BARBARUM,GOJI BERRY
Matricaria chamomilla,Matricaria,MATRICARIA CHAMOMILLA,MATRICARIA
Matricaria chamomilla,Scented chamomile,MATRICARIA CHAMOMILLA,SCENTED CHAMOMILE
Matricaria chamomilla,Scented mayweed,MATRICARIA CHAMOMILLA,SCENTED MAYWEED
Matricaria chamomilla,Sweet false chamomile,MATRICARIA CHAMOMILLA,SWEET FALSE CHAMOMILE
Matricaria chamomilla,True chamomile,MATRICARIA CHAMOMILLA,TRUE CHAMOMILE
Matricaria chamomilla,Wild chamomile,MATRICARIA CHAMOMILLA,WILD CHAMOMILE
Medicago polymorpha,Bur medic,MEDICAGO POLYMORPHA,BUR MEDIC
Medicago polymorpha,California bur-clover,MEDICAGO POLYMORPHA,CALIFORNIA BURCLOVER
Medicago polymorpha,Hairy medic,MEDICAGO POLYMORPHA,HAIRY MEDIC
Medicago polymorpha,Toothed bur-clover,MEDICAGO POLYMORPHA,TOOTHED BURCLOVER
Medicago polymorpha,Toothed medic,MEDICAGO POLYMORPHA,TOOTHED MEDIC
Melia azedarach,Chinaberry,MELIA AZEDARACH,CHINABERRY
Melia azedarach,Lian,MELIA AZEDARACH,LIAN
Melia azedarach,Persian lilac,MELIA AZEDARACH,PERSIAN LILAC
Melia azedarach,Sichuan pagoda-tree,MELIA AZEDARACH,SICHUAN PAGODATREE
Melia azedarach,Szechwan chinaberry,MELIA AZEDARACH,SZECHWAN CHINABERRY
Melissa officinalis,Balm,MELISSA OFFICINALIS,BALM
Melissa officinalis,Bee balm,MELISSA OFFICINALIS,BEE BALM
Melissa officinalis,Lemon balm,MELISSA OFFICINALIS,LEMON BALM
Melissa officinalis,Melissa,MELISSA OFFICINALIS,MELISSA
Mentha pulegium,European pennyroyal,MENTHA PULEGIUM,EUROPEAN PENNYROYAL
Mentha pulegium,Lurk-in-the-Ditch,MENTHA PULEGIUM,LURKINTHEDITCH
Mentha pulegium,Mosquito plant,MENTHA PULEGIUM,MOSQUITO PLANT
Mentha pulegium,Pennyroyal,MENTHA PULEGIUM,PENNYROYAL
Mentha pulegium,Pudding Grass,MENTHA PULEGIUM,PUDDING GRASS
Mentha pulegium,Pulegium,MENTHA PULEGIUM,PULEGIUM
Mentha pulegium,Run-by-the-Ground,MENTHA PULEGIUM,RUNBYTHEGROUND
Mentha pulegium,Squaw Balm,MENTHA PULEGIUM,SQUAW BALM
Mentha pulegium,Squawmint Tickweed,MENTHA PULEGIUM,SQUAWMINT TICKWEED
Mentha spicata,Curled mint,MENTHA SPICATA,CURLED MINT
Mentha spicata,Spearmint,MENTHA SPICATA,SPEARMINT
Mimosa pudica,Han xiu cao,MIMOSA PUDICA,HAN XIU CAO
Mimosa pudica,Sensitive-plant,MIMOSA PUDICA,SENSITIVEPLANT
Mimosa pudica,Touch-me-not,MIMOSA PUDICA,TOUCHMENOT
Mitchella repens,Partridge-berry,MITCHELLA REPENS,PARTRIDGEBERRY
Mitchella repens,Squawvine,MITCHELLA REPENS,SQUAWVINE
Mitragyna speciosa,Kratom,MITRAGYNA SPECIOSA,KRATOM
Mitragyna speciosa,Kratum,MITRAGYNA SPECIOSA,KRATUM
Momordica charantia,Balsam-apple,MOMORDICA CHARANTIA,BALSAMAPPLE
Momordica charantia,Balsam-pear,MOMORDICA CHARANTIA,BALSAMPEAR
Momordica charantia,Bitter-cucumber,MOMORDICA CHARANTIA,BITTERCUCUMBER
Momordica charantia,Bitter gourd,MOMORDICA CHARANTIA,BITTER GOURD
Momordica charantia,Bitter melon,MOMORDICA CHARANTIA,BITTER MELON
Momordica charantia,Carilla gourd,MOMORDICA CHARANTIA,CARILLA GOURD
Morella cerifera,Bayberry,MORELLA CERIFERA,BAYBERRY
Morella cerifera,Candleberry,MORELLA CERIFERA,CANDLEBERRY
Morella cerifera,Southern bayberry,MORELLA CERIFERA,SOUTHERN BAYBERRY
Morella cerifera,Southern wax-myrtle,MORELLA CERIFERA,SOUTHERN WAXMYRTLE
Morella cerifera,Waxberry,MORELLA CERIFERA,WAXBERRY
Morella cerifera,Wax-myrtle,MORELLA CERIFERA,WAXMYRTLE
Morinda citrifolia,Indian-mulberry,MORINDA CITRIFOLIA,INDIANMULBERRY
Morinda citrifolia,Noni,MORINDA CITRIFOLIA,NONI
Morinda citrifolia,Rotten cheesefruit,MORINDA CITRIFOLIA,ROTTEN CHEESEFRUIT
Moringa oleifera,Ben-oil-tree,MORINGA OLEIFERA,BENOILTREE
Moringa oleifera,Benzolive-tree,MORINGA OLEIFERA,BENZOLIVETREE
Moringa oleifera,Drumsticktree,MORINGA OLEIFERA,DRUMSTICKTREE
Moringa oleifera,Horseradish-tree,MORINGA OLEIFERA,HORSERADISHTREE
Moringa oleifera,Malunggay,MORINGA OLEIFERA,MALUNGGAY
Moringa oleifera,Moringa,MORINGA OLEIFERA,MORINGA
Moringa oleifera,West Indian ben,MORINGA OLEIFERA,WEST INDIAN BEN
Myrtus communis,Myrtle,MYRTUS COMMUNIS,MYRTLE
Nepeta cataria,Catmint,NEPETA CATARIA,CATMINT
Nepeta cataria,Catnep,NEPETA CATARIA,CATNEP
Nepeta cataria,Catnip,NEPETA CATARIA,CATNIP
Nepeta cataria,Catswort,NEPETA CATARIA,CATSWORT
Nepeta cataria,Field balm,NEPETA CATARIA,FIELD BALM
Nerium oleander,Oleander,NERIUM OLEANDER,OLEANDER
Nerium oleander,Rose laurel,NERIUM OLEANDER,ROSE LAUREL
Neurolaena lobata,Gavilana,NEUROLAENA LOBATA,GAVILANA
Neurolaena lobata,Jackass bitters,NEUROLAENA LOBATA,JACKASS BITTERS
Notopterygium incisum,Notopterygium,NOTOPTERYGIUM INCISUM,NOTOPTERYGIUM
Notopterygium incisum,Qiang huo,NOTOPTERYGIUM INCISUM,QIANG HUO
Nymphaea odorata,Sweetwaterlily,NYMPHAEA ODORATA,SWEETWATERLILY
Ocimum tenuiflorum,Holy basil,OCIMUM TENUIFLORUM,HOLY BASIL
Ocimum tenuiflorum,Rama tulsi,OCIMUM TENUIFLORUM,RAMA TULSI
Ocimum tenuiflorum,Sacred basil,OCIMUM TENUIFLORUM,SACRED BASIL
Ocimum tenuiflorum,Tulsi,OCIMUM TENUIFLORUM,TULSI
Olea europaea,Olive,OLEA EUROPAEA,OLIVE
Olea europaea,Olive-leaf,OLEA EUROPAEA,OLIVELEAF
Olea europaea,Olive tree,OLEA EUROPAEA,OLIVE TREE
Ononis spinosa,Ononis,ONONIS SPINOSA,ONONIS
Ononis spinosa,Restharrow,ONONIS SPINOSA,RESTHARROW
Ononis spinosa,Spiny restharrow,ONONIS SPINOSA,SPINY RESTHARROW
Ononis spinosa,Spring restharrow,ONONIS SPINOSA,SPRING RESTHARROW
Oplopanax horridus,Devil's-club,OPLOPANAX HORRIDUS,DEVILSCLUB
Origanum compactum,Moroccanoregano,ORIGANUM COMPACTUM,MOROCCANOREGANO
Origanum majorana,Marjoram,ORIGANUM MAJORANA,MARJORAM
Origanum majorana,Sweet marjoram,ORIGANUM MAJORANA,SWEET MARJORAM
Origanum syriacum,Biblical hyssop,ORIGANUM SYRIACUM,BIBLICAL HYSSOP
Origanum syriacum,Lebanese oregano,ORIGANUM SYRIACUM,LEBANESE OREGANO
Origanum syriacum,Syrian oregano,ORIGANUM SYRIACUM,SYRIAN OREGANO
Origanum vulgare,Common Oregano,ORIGANUM VULGARE,COMMON OREGANO
Origanum vulgare,Oregano,ORIGANUM VULGARE,OREGANO
Panax ginseng,Asian ginseng,PANAX GINSENG,ASIAN GINSENG
Panax ginseng,Chinese ginseng,PANAX GINSENG,CHINESE GINSENG
Panax ginseng,Hong shen,PANAX GINSENG,HONG SHEN
Panax ginseng,Korean ginseng,PANAX GINSENG,KOREAN GINSENG
Panax ginseng,Korean red ginseng,PANAX GINSENG,KOREAN RED GINSENG
Panax ginseng,Oriental ginseng,PANAX GINSENG,ORIENTAL GINSENG
Panax ginseng,Panax ginseng,PANAX GINSENG,PANAX GINSENG
Panax ginseng,Red ginseng,PANAX GINSENG,RED GINSENG
Panax ginseng,Ren shen,PANAX GINSENG,REN SHEN
Papaver rhoeas,Corn poppy,PAPAVER RHOEAS,CORN POPPY
Papaver rhoeas,Field poppy,PAPAVER RHOEAS,FIELD POPPY
Papaver rhoeas,Flanders poppy,PAPAVER RHOEAS,FLANDERS POPPY
Papaver rhoeas,Shirley poppy,PAPAVER RHOEAS,SHIRLEY POPPY
Parietaria judaica,Pellitory-of-the-wall,PARIETARIA JUDAICA,PELLITORYOFTHEWALL
Parietaria judaica,Spreading pellitory,PARIETARIA JUDAICA,SPREADING PELLITORY
Passiflora edulis,Purplegranadilla,PASSIFLORA EDULIS,PURPLEGRANADILLA
Paullinia cupana,Guarana,PAULLINIA CUPANA,GUARANA
Pausinystalia johimbe,Yohimbe,PAUSINYSTALIA JOHIMBE,YOHIMBE
Petroselinum crispum,Parsley,PETROSELINUM CRISPUM,PARSLEY
Peumus boldus,Boldo,PEUMUS BOLDUS,BOLDO
Peumus boldus,Boldo tree,PEUMUS BOLDUS,BOLDO TREE
Peumus boldus,Boldu,PEUMUS BOLDUS,BOLDU
