"common_name"	"latin_binomial"
CITRUS RETICULATA	CITRUS RETICULATA
AMPELOCISSUS LATIFOLIA	AMPELOCISSUS LATIFOLIA
SOLIDAGO ODORA	SOLIDAGO ODORA
CALLICARPA AMERICANA	CALLICARPA AMERICANA
CAULOPHYLLUM THALICTROIDES	CAULOPHYLLUM THALICTROIDES
PICEA MARIANA	PICEA MARIANA
LUPINUS PERENNIS	LUPINUS PERENNIS
ASARUM CANADENSE	ASARUM CANADENSE
ADIANTUM LATIFOLIUM	ADIANTUM LATIFOLIUM
WARBURGIA UGANDENSIS	WARBURGIA UGANDENSIS
LEPIDIUM MEYENII	LEPIDIUM MEYENII
MAGNOLIA GRANDIFLORA	MAGNOLIA GRANDIFLORA
SESELI LIBANOTIS	SESELI LIBANOTIS
PARONYCHIA ARGENTEA	PARONYCHIA ARGENTEA
PONTEDERIA CORDATA	PONTEDERIA CORDATA
CITRUS AURANTIUM	CITRUS AURANTIUM
SPERMACOCE VERTICILLATA	SPERMACOCE VERTICILLATA
SENNA ALEXANDRINA	SENNA
SALVIA SCLAREA	SALVIA SCLAREA
ALCEA SETOSA	ALCEA SETOSA
ANETHUM GRAVEOLENS	ANETHUM GRAVEOLENS
AESCULUS HIPPOCASTANUM	AESCULUS HIPPOCASTANUM
RICINUS COMMUNIS	RICINUS COMMUNIS
PELTANDRA VIRGINICA	PELTANDRA VIRGINICA
CARYA ALBA	CARYA ALBA
CASTILLEJA MINIATA	CASTILLEJA MINIATA
CORNUS FLORIDA	CORNUS FLORIDA
QUERCUS STELLATA	QUERCUS STELLATA
DIANTHUS CARTHUSIANORUM	DIANTHUS CARTHUSIANORUM
TEUCRIUM CRETICUM	TEUCRIUM CRETICUM
FRANGULA ALNUS	FRANGULA ALNUS
TILIA AMERICANA	TILIA AMERICANA
ERYTHRINA CRISTA-GALLI	ERYTHRINA CRISTA-GALLI
QUERCUS CHRYSOLEPIS	QUERCUS CHRYSOLEPIS
CROTON DRACONOIDES	CROTON DRACONOIDES
MERTESIA VIRGINICA	MERTESIA VIRGINICA
LILIUM CANDIDUM	LILIUM CANDIDUM
ARENARIA LANUGINOSA	ARENARIA LANUGINOSA
CIRSIUM ERIOPHORUM	CIRSIUM ERIOPHORUM
GARCINIA GERRARDII	GARCINIA GERRARDII
MEUM ATHAMANTICUM	MEUM ATHAMANTICUM
CALLUNA VULGARIS	CALLUNA VULGARIS
PINUS ECHINATA	PINUS ECHINATA
ACHILLEA NOBILIS	ACHILLEA NOBILIS
JACOBAEA MARITIMA	JACOBAEA MARITIMA
BAPTISIA ALBA	BAPTISIA ALBA
COMMELINA DIFFUSA	COMMELINA DIFFUSA
TODDALIA ASIATICA	TODDALIA ASIATICA
LUDWIGIA ERECTA	LUDWIGIA ERECTA
ACACIA DEALBATA	ACACIA DEALBATA
EUPHORBIA OFFICINARUM	EUPHORBIA OFFICINARUM
PTELEA TRIFOLIATA	PTELEA TRIFOLIATA
ACANTHUS MOLLIS	ACANTHUS MOLLIS
RUBUS RIGIDUS	RUBUS RIGIDUS
TOONA SINENSIS	TOONA SINENSIS
FERULA SINKIANGENSIS	FERULA SINKIANGENSIS
ARALIA RACEMOSA	ARALIA RACEMOSA
ORIGANUM SYRIACUM	ORIGANUM SYRIACUM
MELISSA OFFICINALIS	MELISSA OFFICINALIS
IPOMOEA WOLCOTTIANA	IPOMOEA WOLCOTTIANA
CNIDOSCOLUS URENS	CNIDOSCOLUS URENS
ERIGERON STRIGOSUS	ERIGERON STRIGOSUS
ALLIUM PORRUM	ALLIUM PORRUM
MIKANIA SCANDENS	MIKANIA SCANDENS
DELPHINIUM GRANDIFLORUM	DELPHINIUM GRANDIFLORUM
ORIGANUM ONITES	ORIGANUM ONITES
PRUNELLA VULGARIS	PRUNELLA VULGARIS
DAPHNE GNIDIUM	DAPHNE GNIDIUM
ACER RUBRUM	ACER RUBRUM
SABAL MINOR	SABAL MINOR
OPUNTIA HUMIFUSA	OPUNTIA HUMIFUSA
ZANTHOXYLUM OVALIFOLIUM	ZANTHOXYLUM OVALIFOLIUM
FUMARIA OFFICINALIS	FUMARIA OFFICINALIS
BRASSICA JUNCEA	BRASSICA JUNCEA
AMOMUM AROMATICUM	AMOMUM AROMATICUM
OXYRIA DIGYNA	OXYRIA DIGYNA
LONICERA HYPOGLAUCA	LONICERA HYPOGLAUCA
ALOYSIA TRIPHYLLA	ALOYSIA TRIPHYLLA
PINUS SYLVESTRIS	PINUS SYLVESTRIS
CYMBOPOGON SCHOENANTHUS	CYMBOPOGON SCHOENANTHUS
SAMBUCUS CANADENSIS	SAMBUCUS CANADENSIS
EUTERPE OLERACEA	EUTERPE OLERACEA
RUBUS URSINUS	RUBUS URSINUS
COLEUS	PLECTRANTHUS AMBOINICUS
GUGGUL	COMMIPHORA MUKUL
CAPSELLA BURSA-PASTORIS	CAPSELLA BURSA-PASTORIS
XANTHIUM STRUMARIUM	XANTHIUM STRUMARIUM
LUDWIGIA PEPLOIDES	LUDWIGIA PEPLOIDES
JUNCUS TORREYI	JUNCUS TORREYI
SCHIZACHYRIUM SCOPARIUM	SCHIZACHYRIUM SCOPARIUM
THAPSIA GARGANICA	THAPSIA GARGANICA
GREWIA VILLOSA	GREWIA VILLOSA
CAMPSIS RADICANS	CAMPSIS RADICANS
GLYCYRRHIZA URALENSIS	GLYCYRRHIZA URALENSIS
PINUS PALUSTRIS	PINUS PALUSTRIS
RHEUM AUSTRALE	RHEUM AUSTRALE
VICIA FABA	VICIA FABA
LIMONIUM NARBONENSE	LIMONIUM NARBONENSE
EICHHORNIA CRASSIPES	EICHHORNIA CRASSIPES
MONESES UNIFLORA	MONESES UNIFLORA
LEPIDIUM DRABA	LEPIDIUM DRABA
PEUMUS BOLDUS	PEUMUS BOLDUS
MENTHA SPICATA	MENTHA SPICATA
VITIS VINIFERA	VITIS VINIFERA
GALEGA OFFICINALIS	GALEGA OFFICINALIS
LONICERA JAPONICA	LONICERA JAPONICA
GALIUM APARINE	GALIUM APARINE
VACCINIUM MYRSINITES	VACCINIUM MYRSINITES
AFRAMOMUM MELEGUETA	AFRAMOMUM MELEGUETA
PLANTAGO MAJOR	PLANTAGO MAJOR
TURNERA DIFFUSA	TURNERA DIFFUSA
NEPETA HINDOSTANA	NEPETA HINDOSTANA
PLANTAGO ARISTATA	PLANTAGO ARISTATA
SAMBUCUS EBULUS	SAMBUCUS EBULUS
SPHYRNA LEWINI	SPHYRNA LEWINI
ASCLEPIAS PERENNIS	ASCLEPIAS PERENNIS
PLECTRANTHUS ESCULENTUS	PLECTRANTHUS ESCULENTUS
BALLOTA NIGRA	BALLOTA NIGRA
CYCLAMEN HEDERIFOLIUM	CYCLAMEN HEDERIFOLIUM
SALVIA ROSMARINUS	SALVIA ROSMARINUS
CODONOPSIS PILOSULA	CODONOPSIS PILOSULA
GALIUM VERUM	GALIUM VERUM
Brassica Brassica oleracea	Brassica Brassica oleracea
DIOSCOREA VILLOSA	DIOSCOREA VILLOSA
HYDRASTIS CANADENSIS	GOLDENSEAL
PYROSTEGIA VENUSTA	PYROSTEGIA VENUSTA
PIPER NIGRUM	BLACK PEPPER
EQUISETUM HYEMALE	EQUISETUM HYEMALE
CORNUS OFFICINALIS	CORNUS OFFICINALIS
BOLETUS EDULIS	BOLETUS EDULIS
SYMPHYTUM OFFICINALE	SYMPHYTUM OFFICINALE
DIPSACUS FULLONUM	DIPSACUS FULLONUM
PALISOTA HIRSUTA	PALISOTA HIRSUTA
RUBUS CUNEIFOLIUS	RUBUS CUNEIFOLIUS
PLATANTHERA PSYCODES	PLATANTHERA PSYCODES
BAUHINIA DIVARICATA	BAUHINIA DIVARICATA
ERYTHRINA HERBACEA	ERYTHRINA HERBACEA
ASTRAGALUS MONSPESSULANUS	ASTRAGALUS MONSPESSULANUS
LYCOPUS AMERICANUS	LYCOPUS AMERICANUS
QUERCUS GAMBELII	QUERCUS GAMBELII
CERATONIA SILIQUA	CERATONIA SILIQUA
HELICHRYSUM ARENARIUM	HELICHRYSUM ARENARIUM
HYPERICUM PERFORATUM	HYPERICUM PERFORATUM
SESAMUM RADIATUM	SESAMUM RADIATUM
TYPHA DOMINGENSIS	TYPHA DOMINGENSIS
ZALUZIANSKYA CAPENSIS	ZALUZIANSKYA CAPENSIS
KALANCHOE CRENATA	KALANCHOE CRENATA
ARTOCARPUS ALTILIS	ARTOCARPUS ALTILIS
SCUTELLARIA LATERIFLORA	SCUTELLARIA LATERIFLORA
AGATHOSMA BETULINA	AGATHOSMA BETULINA
GARDENIA THUNBERGIA	GARDENIA THUNBERGIA
ASCLEPIAS INCARNATA	ASCLEPIAS INCARNATA
JUGLANS REGIA	JUGLANS REGIA
CRITHMUM MARITIMUM	CRITHMUM MARITIMUM
ARTEMISIA ARBORESCENS	ARTEMISIA ARBORESCENS
DAPHNE OLEOIDES	DAPHNE OLEOIDES
COLEUS	COLEUS
ECHINACEA ANGUSTIFOLIA	ECHINACEA ANGUSTIFOLIA
MOMORDICA COCHINCHINENSIS	MOMORDICA COCHINCHINENSIS
MITRACARPUS HIRTUS	MITRACARPUS HIRTUS
COLLOMIA LINEARIS	COLLOMIA LINEARIS
GALIUM TRIFLORUM	GALIUM TRIFLORUM
LESSERTIA TOMENTOSA	LESSERTIA TOMENTOSA
VACCINIUM ANGUSTIFOLIUM	VACCINIUM ANGUSTIFOLIUM
ALBIZIA CORIARIA	ALBIZIA CORIARIA
CITRULLUS LANATUS	CITRULLUS LANATUS
FRAXINUS ANGUSTIFOLIA	FRAXINUS ANGUSTIFOLIA
COMMELINA BENGHALENSIS	COMMELINA BENGHALENSIS
TEUCRIUM CHAMAEDRYS	TEUCRIUM CHAMAEDRYS
BRASSICA NIGRA	BRASSICA NIGRA
ORBEXILUM PEDUNCULATUM	ORBEXILUM PEDUNCULATUM
PILOBLEPHIS RIGIDA	PILOBLEPHIS RIGIDA
TOONA SINENSIS	CORDYCEPS
CERCIS CANADENSIS	CERCIS CANADENSIS
ARISTOTELIA CHILENSIS	ARISTOTELIA CHILENSIS
SALVIA MACROSIPHON	SALVIA MACROSIPHON
WISTERIA SINENSIS	WISTERIA SINENSIS
ERIGERON FLORIBUNDUS	ERIGERON FLORIBUNDUS
FERULA COMMUNIS	FERULA COMMUNIS
HYPERICUM HYPERICOIDES	HYPERICUM HYPERICOIDES
CERINTHE MAJOR	CERINTHE MAJOR
TYPHA LATIFOLIA	TYPHA LATIFOLIA
CRATAEGUS LAEVIGATA	CRATAEGUS LAEVIGATA
MAESA LANCEOLATA	MAESA LANCEOLATA
ARUNDO DONAX	ARUNDO DONAX
ENTEROLOBIUM CYCLOCARPUM	ENTEROLOBIUM CYCLOCARPUM
GINKGO BILOBA	GINKGO BILOBA
CLINOPODIUM BOLIVIANUM	CLINOPODIUM BOLIVIANUM
MIRABILIS JALAPA	MIRABILIS JALAPA
THELYPTERIS KUNTHII	THELYPTERIS KUNTHII
BIDENS PILOSA	BIDENS PILOSA
HARPAGOPHYTUM PROCUMBENS	HARPAGOPHYTUM PROCUMBENS
RUBUS FLAGELLARIS	RUBUS FLAGELLARIS
CROSSOPTERYX FEBRIFUGA	CROSSOPTERYX FEBRIFUGA
GARCINIA	GARCINIA
KADSURA JAPONICA	KADSURA JAPONICA
STADMANIA OPPOSITIFOLIA	STADMANIA OPPOSITIFOLIA
SESBANIA SESBAN	SESBANIA SESBAN
FOENICULUM VULGARE	FOENICULUM VULGARE
PARIETARIA JUDAICA	PARIETARIA JUDAICA
ATRACTYLODES MACROCEPHALA	ATRACTYLODES MACROCEPHALA
PISTACIA LENTISCUS	PISTACIA LENTISCUS
STACHYS BULLATA	STACHYS BULLATA
ASPARAGUS SETACEUS	ASPARAGUS SETACEUS
ELDERBERRY	SAMBUCUS NIGRA
GENTIANA PNEUMONANTHE	GENTIANA PNEUMONANTHE
RUSCUS ACULEATUS	RUSCUS ACULEATUS
MACLURA TINCTORIA	MACLURA TINCTORIA
HALOXYLON AMMODENDRON	HALOXYLON AMMODENDRON
DIOSPYROS VIRGINIANA	DIOSPYROS VIRGINIANA
PANAX GINSENG	PANAX GINSENG
CORYLUS AMERICANA	CORYLUS AMERICANA
ASPARAGUS RACEMOSUS	ASPARAGUS RACEMOSUS
ESCHSCHOLZIA CALIFORNICA	ESCHSCHOLZIA CALIFORNICA
CISTUS CRETICUS	CISTUS CRETICUS
VACCINIUM PALLIDUM	VACCINIUM PALLIDUM
PAULLINIA CUPANA	PAULLINIA CUPANA
VINCA MAJOR	VINCA MAJOR
CHELIDONIUM MAJUS	CHELIDONIUM MAJUS
PINUS NIGRA	PINUS NIGRA
ACORUS CALAMUS	ACORUS CALAMUS
GOLDENSEAL	GOLDENSEAL
NASTURTIUM OFFICINALE	NASTURTIUM OFFICINALE
GRINDELIA CILIATA	GRINDELIA CILIATA
VERONICA CHAMAEDRYS	VERONICA CHAMAEDRYS
GALIUM UNIFLORUM	GALIUM UNIFLORUM
DAUCUS CAROTA	DAUCUS CAROTA
COMMIPHORA MUKUL	COMMIPHORA MUKUL
CHRYSOPSIS MARIANA	CHRYSOPSIS MARIANA
PSEUDOGNAPHALIUM VISCOSUM	PSEUDOGNAPHALIUM VISCOSUM
CLINOPODIUM POLYCEPHALUM	CLINOPODIUM POLYCEPHALUM
SENNA OCCIDENTALIS	SENNA OCCIDENTALIS
QUASSIA AMARA	QUASSIA AMARA
AMARANTHUS SPINOSUS	AMARANTHUS SPINOSUS
ZIZANIA AQUATICA	ZIZANIA AQUATICA
ARMILLARIA GALLICA	ARMILLARIA GALLICA
PERIPLOCA LAEVIGATA	PERIPLOCA LAEVIGATA
ALLIUM MACROSTEMON	ALLIUM MACROSTEMON
BARBERRY	BERBERIS ARISTATA
CASTANEA DENTATA	CASTANEA DENTATA
ACALYPHA FRUTICOSA	ACALYPHA FRUTICOSA
RUTA GRAVEOLENS	RUTA GRAVEOLENS
MELILOTUS ALBUS	MELILOTUS ALBUS
GERANIUM MACULATUM	GERANIUM MACULATUM
TORMINALIS GLABERRIMA	TORMINALIS GLABERRIMA
ANEMONE HEPATICA	ANEMONE HEPATICA
OPLOPANAX HORRIDUS	OPLOPANAX HORRIDUS
LONICERA PERICLYMENUM	LONICERA PERICLYMENUM
CRATAEGUS AZAROLUS	CRATAEGUS AZAROLUS
QUERCUS ILEX	QUERCUS ILEX
GLYCYRRHIZA INFLATA	LICORICE
FRANGULA CAROLINIANA	FRANGULA CAROLINIANA
EMILIA SONCHIFOLIA	EMILIA SONCHIFOLIA
ASTRAGALUS PROPINQUUS	ASTRAGALUS PROPINQUUS
TEUCRIUM BOTRYS	TEUCRIUM BOTRYS
PIPER NIGRUM	PIPER NIGRUM
HYPERICUM REVOLUTUM	HYPERICUM REVOLUTUM
STERCULIA URENS	STERCULIA URENS
PSEUDOTSUGA MENZIESII	PSEUDOTSUGA MENZIESII
BERBERIS VULGARIS	BERBERIS VULGARIS
STILLINGIA SYLVATICA	STILLINGIA SYLVATICA
SIDA SPINOSA	SIDA SPINOSA
NEUROLAENA LOBATA	NEUROLAENA LOBATA
PASSIFLORA EDULIS	PASSIFLORA EDULIS
DIPLOTAXIS TENUIFOLIA	DIPLOTAXIS TENUIFOLIA
PINUS MUGO	PINUS MUGO
SOLIDAGO CANADENSIS	SOLIDAGO CANADENSIS
ERYTHRINA ABYSSINICA	ERYTHRINA ABYSSINICA
CENTAURIUM ERYTHRAEA	CENTAURIUM ERYTHRAEA
ARISTOLOCHIA FIMBRIATA	ARISTOLOCHIA FIMBRIATA
NEPETA TENUIFOLIA	NEPETA TENUIFOLIA
HYPERICUM PUNCTATUM	HYPERICUM PUNCTATUM
ARISTOLOCHIA RUGOSA	ARISTOLOCHIA RUGOSA
THUJA PLICATA	THUJA PLICATA
NYMPHAEA ODORATA	NYMPHAEA ODORATA
TRIGONELLA CORNICULATA	TRIGONELLA CORNICULATA
SMILAX ROTUNDIFOLIA	SMILAX ROTUNDIFOLIA
CASTANEA SATIVA	CASTANEA SATIVA
ERIOGONUM ALATUM	ERIOGONUM ALATUM
NEPHROLEPIS CORDIFOLIA	NEPHROLEPIS CORDIFOLIA
RUDBECKIA HIRTA	RUDBECKIA HIRTA
FOMITOPSIS PINICOLA	FOMITOPSIS PINICOLA
MAGNOLIA VIRGINIANA	MAGNOLIA VIRGINIANA
MARRUBIUM VULGARE	MARRUBIUM VULGARE
HORSETAIL	EQUISETUM HYEMALE
FICUS SAUSSUREANA	FICUS SAUSSUREANA
UNCARIA TOMENTOSA	UNCARIA TOMENTOSA
CLADIUM MARISCUS	CLADIUM MARISCUS
VITIS ROTUNDIFOLIA	VITIS ROTUNDIFOLIA
ERODIUM MALACOIDES	ERODIUM MALACOIDES
ERIODICTYON CALIFORNICUM	ERIODICTYON CALIFORNICUM
ANGELICA SINENSIS	ANGELICA SINENSIS
CARYA ILLINOINENSIS	CARYA ILLINOINENSIS
VITIS AESTIVALIS	VITIS AESTIVALIS
AGRIMONIA EUPATORIA	AGRIMONIA EUPATORIA
PETROSELINUM CRISPUM	PETROSELINUM CRISPUM
ARECA CATECHU	ARECA CATECHU
MENTHA PULEGIUM	MENTHA PULEGIUM
PRUNUS SEROTINA	PRUNUS SEROTINA
CICHORIUM INTYBUS	CICHORIUM INTYBUS
TABERNAEMONTANA AURANTIACA	TABERNAEMONTANA AURANTIACA
SALVIA MICROPHYLLA	SALVIA MICROPHYLLA
DICHORISANDRA HEXANDRA	DICHORISANDRA HEXANDRA
ALLIUM CEPA	ALLIUM CEPA
ANDROPOGON VIRGINICUS	ANDROPOGON VIRGINICUS
AMBROSIA ARTEMISIIFOLIA	AMBROSIA ARTEMISIIFOLIA
SCHISANDRA CHINENSIS	SCHISANDRA CHINENSIS
CANTINOA AMERICANA	CANTINOA AMERICANA
GENTIANA OLIVIERI	GENTIANA OLIVIERI
CHIONANTHUS VIRGINICUS	CHIONANTHUS VIRGINICUS
GOLDENSEAL	HYDRASTIS CANADENSIS
CUMINUM CYMINUM	CUMINUM CYMINUM
MEDICAGO POLYMORPHA	MEDICAGO POLYMORPHA
STACHYS TENUIFOLIA	STACHYS TENUIFOLIA
EUPATORIUM LINDLEYANUM	EUPATORIUM LINDLEYANUM
GYMNEMA SYLVESTRE	GYMNEMA SYLVESTRE
MAGNOLIA TRIPETALA	MAGNOLIA TRIPETALA
NIPHIDIUM CRASSIFOLIUM	NIPHIDIUM CRASSIFOLIUM
SALIX TRIANDRA	SALIX TRIANDRA
LECHEA MINOR	LECHEA MINOR
BLUMEA LACERA	BLUMEA LACERA
RHEXIA VIRGINICA	RHEXIA VIRGINICA
SPHAGNUM SQUARROSUM	SPHAGNUM SQUARROSUM
PYRUS NIVALIS	PYRUS NIVALIS
RAPHANUS RAPHANISTRUM	RAPHANUS RAPHANISTRUM
PERSICARIA MACULOSA	PERSICARIA MACULOSA
PRUNUS ARMENIACA	PRUNUS ARMENIACA
AMOMUM ACULEATUM	AMOMUM ACULEATUM
THYMUS PRAECOX	THYMUS PRAECOX
PLECTRANTHUS AMBOINICUS	PLECTRANTHUS AMBOINICUS
EPIMEDIUM PUBESCENS	HORNY GOAT WEED
CORYLUS AVELLANA	CORYLUS AVELLANA
SOLANUM CAROLINENSE	SOLANUM CAROLINENSE
ERIOBOTRYA JAPONICA	ERIOBOTRYA JAPONICA
ZANTHOXYLUM SIMULANS	ZANTHOXYLUM SIMULANS
ELYMUS REPENS	ELYMUS REPENS
SALIX LUCIDA	SALIX LUCIDA
GLYCYRRHIZA INFLATA	GLYCYRRHIZA INFLATA
ENDOTROPIS ALNIFOLIA	ENDOTROPIS ALNIFOLIA
LICORICE	LICORICE
BIDENS BIPINNATA	BIDENS BIPINNATA
ACHILLEA AGERATUM	ACHILLEA AGERATUM
KHAYA ANTHOTHECA	KHAYA ANTHOTHECA
SENNA ALEXANDRINA	SENNA ALEXANDRINA
EUPATORIUM JAPONICUM	EUPATORIUM JAPONICUM
PISTIA STRATIOTES	PISTIA STRATIOTES
RUBUS TRIVIALIS	RUBUS TRIVIALIS
PERSICARIA HYDROPIPEROIDES	PERSICARIA HYDROPIPEROIDES
AMANITA RUBESCENS	AMANITA RUBESCENS
BIXA ORELLANA	BIXA ORELLANA
ARTEMISIA ABSINTHIUM	ARTEMISIA ABSINTHIUM
APIUM GRAVEOLENS	APIUM GRAVEOLENS
SOLANUM NIGRUM	SOLANUM NIGRUM
DRIMA MARITIMA	DRIMA MARITIMA
COPTIS CHINENSIS	COPTIS CHINENSIS
JUNIPERUS COMMUNIS	JUNIPERUS COMMUNIS
POLIOMINTHA INCANA	POLIOMINTHA INCANA
CRATAEGUS MONOGYNA	CRATAEGUS MONOGYNA
LINARIA VULGARIS	LINARIA VULGARIS
CASTANEA MOLLISSIMA	CASTANEA MOLLISSIMA
PLATANUS OCCIDENTALIS	PLATANUS OCCIDENTALIS
SOLANUM LINNAEANUM	SOLANUM LINNAEANUM
HORNY GOAT WEED	HORNY GOAT WEED
